name: uzwgccwano, num: 0.020000
name: jrutqcgsyq, num: 0.020000
name: bczbsumaxf, num: 0.030000
name: ltulhnyeod, num: 0.060000
name: tpyqxqfwzg, num: 0.070000
name: akhfaijehv, num: 0.070000
name: ihraxrswka, num: 0.070000
name: vkqdhntrnf, num: 0.090000
name: prwkadsjuy, num: 0.090000
name: suayekgoaf, num: 0.100000
name: omrknnqdpt, num: 0.100000
name: xynlwbkmyh, num: 0.100000
name: totuelazxh, num: 0.120000
name: fiezahedjs, num: 0.120000
name: oarypbwnvt, num: 0.140000
name: fftadbcrtt, num: 0.150000
name: risddgdnka, num: 0.150000
name: pxgfufteol, num: 0.160000
name: nlcctckrkb, num: 0.170000
name: lsdifepqsn, num: 0.180000
name: bjrfsgxtlw, num: 0.200000
name: erfuareycv, num: 0.210000
name: qasxxnptha, num: 0.240000
name: zmoktjwmsn, num: 0.250000
name: bncvvxklyy, num: 0.250000
name: gzynitlbst, num: 0.270000
name: lfkrogwqai, num: 0.290000
name: gtisyblfvx, num: 0.300000
name: tqrbjcevwf, num: 0.320000
name: pdggqfcuzg, num: 0.320000
name: iofqcoxbay, num: 0.390000
name: yrxqifqpxf, num: 0.390000
name: qlfeiauxwj, num: 0.400000
name: dnyeqcweco, num: 0.440000
name: abjagolvfh, num: 0.450000
name: aacamahnft, num: 0.450000
name: oypkzeuhni, num: 0.470000
name: luztcoshwr, num: 0.480000
name: xefggkbckl, num: 0.490000
name: ynubjukyix, num: 0.490000
name: begyhjztqy, num: 0.490000
name: qzdyapzxnh, num: 0.490000
name: zhixqoqppm, num: 0.520000
name: saohshkbzb, num: 0.530000
name: jypscwgzhg, num: 0.540000
name: zsmoomqdwl, num: 0.540000
name: nrsgexyanq, num: 0.540000
name: dceujqktaa, num: 0.550000
name: wmoblncgdr, num: 0.560000
name: hwbioqaios, num: 0.560000
name: vyiautekgr, num: 0.560000
name: xyoosipoto, num: 0.580000
name: gbpvnbfsey, num: 0.580000
name: yequkupqww, num: 0.580000
name: nclcpjofkn, num: 0.620000
name: zpczyxtoip, num: 0.630000
name: dbrmxoqens, num: 0.670000
name: fwwafhgnxa, num: 0.690000
name: upxqpfrfuw, num: 0.710000
name: feesjnkgdt, num: 0.710000
name: lutghfovmo, num: 0.710000
name: xogluqbmou, num: 0.720000
name: omkkwwdqgh, num: 0.720000
name: yxnpoforyq, num: 0.730000
name: hoavhullat, num: 0.730000
name: zomidodlyq, num: 0.730000
name: qdqvqropwi, num: 0.740000
name: ojkendjiyv, num: 0.740000
name: udmnhtwuth, num: 0.760000
name: nyqizopwal, num: 0.770000
name: axbmcnprdu, num: 0.780000
